id,pos,CLASS_STAR,PSF_e1,PSF_e2,scalelength,model_flux,MAG_u,MAG_g,MAG_r,MAG_i,MAG_z
W2p1p2_177951,134.32233500000015 -1.9510053660000268,0.022454,-0.0076,-0.0082,1.6594,5.0,26.9384,25.1687,24.4964,24.0762,23.4183
W2p1p2_177953,134.03874019999986 -1.9509204379999945,0.226546,-0.0108,0.0078,0.0,5.4,99.0,26.1133,24.7999,24.0965,23.7745
W2p1p2_177954,134.5981628 -1.9509999929999988,2.5564E-4,-0.0061,-0.0164,2.4411,7.1,24.5249,24.3897,24.1141,23.6232,23.2311
W2p1p2_177957,134.01777860000018 -1.9508905829999876,9.18062E-4,-0.0091,0.0117,1.6281,7.7,25.3729,24.587,24.1013,23.4643,22.8075
W2p1p2_177959,134.12528609999976 -1.9519053570000204,0.0273605,-0.0011,0.003,1.8943,36.0,23.4198,22.8263,22.1837,21.7,21.4716
W2p1p2_177966,134.82276140000002 -1.9515892880000192,0.0150486,-0.0063,-0.04,3.135,19.5,25.6475,24.7418,23.5138,22.4149,22.091
W2p1p2_177968,134.50893849999983 -1.9509307439999766,0.164225,-0.0083,-0.0124,1.517,7.7,99.0,25.5158,24.5658,23.4093,22.6937
W2p1p2_177970,134.14344419999995 -1.9508482189999943,0.01811,-0.0025,0.0013,1.8141,5.2,99.0,25.1038,24.2693,24.0801,23.9895
W2p1p2_177972,134.67561339999972 -1.9511714669999838,0.9818,-0.006,-0.0245,0.0,43.6,99.0,24.1064,22.7602,21.5492,21.0052
W2p1p2_177975,134.1145638000001 -1.9508306199999803,0.303501,8.0E-4,0.0056,0.817,4.8,26.5159,26.8082,25.3988,24.0024,23.4652
W2p1p2_177984,134.74040179999977 -1.9507649009999988,0.00613404,-0.0039,-0.0291,1.1827,4.4,24.7008,24.579,24.467,24.2386,23.972
W2p1p2_177986,133.98643019999975 -1.9507310980000077,0.0458825,-0.0068,0.0176,0.6555,2.8,25.251,24.7262,24.6616,24.6008,24.9948
W2p1p2_177988,134.24358190000027 -1.9508550499999768,0.979271,-0.0058,-0.0044,0.2907,20.2,99.0,25.3817,23.9296,22.4121,21.7125
W2p1p2_177991,134.85305130000003 -1.9506844850000205,0.00238764,-0.0075,-0.0427,2.0533,6.5,26.1036,25.5822,24.6119,23.6175,22.6482
W2p1p2_177994,134.25069650000015 -1.9514525609999949,0.0228518,-0.0038,-0.0041,2.5684,30.5,23.7305,23.1925,22.3073,21.8949,21.6368
W2p1p2_177997,134.6171896000001 -1.9506969090000168,0.629511,-0.0121,-0.0206,1.0034,4.6,99.0,26.5346,24.6913,24.2383,24.3424
W2p1p2_177998,134.71685669999985 -1.9506508849999844,0.0321254,-0.0054,-0.0285,2.5507,3.7,26.7019,26.178,25.5723,24.6455,24.4009
W2p1p2_178015,134.15545699999976 -1.9506078609999833,0.150602,-0.007,0.0,0.9575,4.1,25.6846,25.3237,24.8947,24.343,23.8163
W2p1p2_178020,134.14456009999978 -1.9505887220000255,2.00375E-4,-0.0026,0.0012,1.784,7.4,24.594,24.1239,23.9435,23.6236,23.3158
W2p1p2_178023,134.3809839 -1.9510219489999834,0.0282873,-0.0066,-0.0087,1.439,18.7,23.6685,23.4068,22.9731,22.5053,22.495
W2p1p2_178024,134.7164354999998 -1.9516168480000051,0.0257288,-0.0073,-0.0336,2.1763,22.2,24.4251,23.3243,22.6054,22.2542,21.8609
W2p1p2_178025,134.23710290000008 -1.9506235140000054,0.541176,-0.0085,-0.0041,0.6272,2.9,99.0,25.878,25.0401,24.4375,23.8632
W2p1p2_178030,134.0503236000001 -1.9505529010000233,0.0573304,-0.0114,0.006,2.7216,6.3,27.1169,26.1464,25.0907,23.9679,23.4043
W2p1p2_178032,134.45535999999984 -1.950565254999978,0.153488,-0.0073,-0.0119,0.945,6.9,23.8737,23.7426,23.7552,23.5633,23.1627
W2p1p2_178037,134.5773081999998 -1.951420728000006,0.0433037,-0.0058,-0.0161,1.2662,53.2,24.3815,23.2784,22.1778,21.2833,20.8964
W2p1p2_178038,134.58409510000016 -1.9505006790000048,0.089113,-0.0066,-0.0159,1.0182,9.9,25.3967,24.5642,23.7627,23.2831,23.249
W2p1p2_178039,134.5752557000002 -1.9504748899999815,0.199401,-0.0067,-0.0155,0.9866,5.6,26.0304,25.5659,24.7859,23.9567,23.5956
